-149.8222547,61.2205933,Bed Bath & Beyond - 3090 Mountain View Dr; Anchorage,AK 99501>907-276-2900 
-149.8910331,61.1447168,Bed Bath & Beyond - 601 W Dimond Blvd; Anchorage,AK 99515>907-341-4111 
-93.071758,34.468508,Bed Bath & Beyond - 1454 Higdon Ferry Rd; Hot Springs,AR 71913>501-609-0706 
-92.415923,35.062274,Bed Bath & Beyond - 1272 S Amity Rd; Conway,AR 72032>501-505-4962
-92.2254864,34.7898761,Bed Bath & Beyond - 4122 McCain Blvd; North Little Rock,AR 72117>501-945-4863 
-92.414776,34.751849,Bed Bath & Beyond - 12309 Chenal Pkwy; Little Rock,AR 72211>501-224-6400 
-90.6670128,35.8230508,Bed Bath & Beyond - 3000 E Highland Dr; Jonesboro,AR 72401>870-336-2600 
-94.149212,36.121523,Bed Bath & Beyond - 3816 N Mall Ave; Fayetteville,AR 72703>479-443-9922 
-94.175639,36.304692,Bed Bath & Beyond - 2203 Promenade Blvd; Rogers,AR 72758>479-636-1848 
-94.3897483,35.3383014,Bed Bath & Beyond - 3955 Phoenix Ave; Fort Smith,AR 72903>479-648-3072 
-104.77939,39.763201,Bed Bath & Beyond - 3511 N Salida Ct; Aurora,CO 80011>303-371-8354 
-104.8158623,39.614945,Bed Bath & Beyond - 5560 S Parker Rd; Aurora,CO 80015>303-690-5600 
-104.709186,39.608712,Bed Bath & Beyond - 23901 E Orchard Rd; Aurora,CO 80016>303-400-4106 
-105.076588,39.8565927,Bed Bath & Beyond - 7225 W 88th Ave; Westminster,CO 80021>720-898-0377 
-104.9777132,39.9962124,Bed Bath & Beyond - 16531 Washington St; Thornton,CO 80023>303-457-8600 
-105.0795808,39.6098755,Bed Bath & Beyond - 7421 W Bowles Ave; Littleton,CO 80123>303-972-1133 
-104.8819622,39.5634061,Bed Bath & Beyond - 8467 S Yosemite St; Lone Tree,CO 80124>303-708-1577 
-104.9979653,39.5475419,Bed Bath & Beyond - 9315 Dorchester St; Highlands Ranch,CO 80129>720-348-0440 
-104.7672354,39.5101544,Bed Bath & Beyond - 11435 20 Mile Rd; Parker,CO 80134>720-851-6484 
-104.957386,39.717111,Bed Bath & Beyond - 2500 E 1st Ave; Denver,CO 80206>303-321-0742 
-104.9902832,39.8853307,Bed Bath & Beyond - 341 W 104th Ave; Northglenn,CO 80234>303-920-1372 
-105.258477,40.0160603,Bed Bath & Beyond - 1741 28th St; Boulder,CO 80302>303-415-0302 
-105.1593446,39.7353375,Bed Bath & Beyond - 14383 W Colfax Ave; Golden,CO 80401>303-277-1145 
-106.0593869,39.6292672,Bed Bath & Beyond - 318 Dillon Ridge Rd; Dillon,CO 80498>970-513-0319 
-105.0514644,40.1603784,Bed Bath & Beyond - 205 Ken Pratt Blvd; Longmont,CO 80501>303-772-8300 
-105.078306,40.530277,Bed Bath & Beyond - 110 W Troutman Pkwy; Fort Collins,CO 80525>970-223-7009 
-105.0073301,40.4087363,Bed Bath & Beyond - 1605 Fall River Dr; Loveland,CO 80538>970-461-9599 
-104.7397154,40.3880158,Bed Bath & Beyond - 4735 W 29th St; Greeley,CO 80634>970-339-3086 
