-72.880133,41.286161,Hobby Lobby,203-468-5488,68 Frontage Road,East Haven,CT,06512,USA
-73.031954,41.241846,Hobby Lobby,203-874-0610,1777 Boston Post Road,Milford,CT,06460,USA
-87.2682392,33.848421,Hobby Lobby,205-295-0256,680 Highway 78 East,Jasper,AL,35501,USA
-87.579411,33.240117,Hobby Lobby,205-333-8255,2300 McFarland Boulevard,Northport,AL,35476,USA
-86.81033,33.65343,Hobby Lobby,205-631-9722,655 Fieldstown Road,Gardendale,AL,35071,USA
-86.622757,33.612389,Hobby Lobby,205-655-2134,5501 Patrick Way,Birmingham,AL,35235,USA
-86.82678,33.44528,Hobby Lobby,205-942-9328,255 Lakeshore Parkway,Homewood,AL,35209,USA
-86.67273,33.41096,Hobby Lobby,205-981-4515,1201 Doug Baker Blvd,Birmingham,AL,35242,USA
-86.79881,33.36932,Hobby Lobby,205-985-5292,1855 Montgomery Hwy S,Hoover,AL,35244,USA
-122.343605,47.725036,Hobby Lobby,206-306-9513,13200 Aurora Avenue North,Seattle,WA,98133,USA
-70.234803,44.120344,Hobby Lobby,207-782-6026,65 Mt Auburn Ave,Auburn,ME,04210,USA
-68.7565834,44.826675,Hobby Lobby,207-941-8623,489 Stillwater Ave,Bangor,ME,04401,USA
-112.4663333,42.9077482,Hobby Lobby,208-237-1699,4101 Yellowstone Ave,Chubbuck,ID,83202,USA
-116.5947984,43.6142951,Hobby Lobby,208-442-9729,16885 N Marketplace Blvd,Nampa,ID,83687,USA
-111.9692764,43.4676094,Hobby Lobby,208-522-2491,3603 South 25th,Ammon,ID,83406,USA
-116.35428,43.63783,Hobby Lobby,208-855-4798,3547 N Eagle Rd,Meridian,ID,83646,USA
-120.994262,37.680174,Hobby Lobby,209-521-6449,2801 McHenry Avenue,Modesto,CA,95350,USA
-120.494123,37.317967,Hobby Lobby,209-722-2054,1400 W Olive Avenue,Merced,CA,95348,USA
-120.87323,37.054401,Hobby Lobby,209-829-1807,1301 W Pacheco Blvd,Los Banos,CA,93635,USA
-121.319693,37.989647,Hobby Lobby,209-954-1869,1155 W March Lane,Stockton,CA,95207,USA
-98.48653,29.56791,Hobby Lobby,210-495-7497,286 Bitters Road,San Antonio,TX,78216,USA
-98.44916,29.65183,Hobby Lobby,210-497-4551,23128 US 281 North,San Antonio,TX,78258,USA
-98.603195,29.604906,Hobby Lobby,210-561-5630,17903 La Cantera Parkway,San Antonio,TX,78257,USA
-98.62498,29.50021,Hobby Lobby,210-647-5353,7058 Bandera Road,San Antonio,TX,78238,USA
-98.70029,29.49019,Hobby Lobby,210-675-5060,5855 Rogers Road,San Antonio,TX,78251,USA
-98.55191,29.49081,Hobby Lobby,210-737-1611,4522 Fredericksburg,San Antonio,TX,78201,USA
-98.32282,29.57474,Hobby Lobby,210-945-2439,8370 Agora Parkway,Selma,TX,78154,USA
-96.6788,33.10249,Hobby Lobby,214-495-0100,107 Central Expressway N,Allen,TX,75013,USA
-91.35489,39.93499,Hobby Lobby,217-222-0112,3800 Broadway,Quincy,IL,62305,USA
-88.24816,40.14197,Hobby Lobby,217-355-2924,2102 N Neil St,Champaign,IL,61820,USA
-89.708931,39.754629,Hobby Lobby,217-726-9782,3325 S Veterans Parkway,Springfield,IL,62704,USA
-88.9591098,39.920965,Hobby Lobby,217-872-0936,1146 Hickory Point Mall,Forsyth,IL,62535,USA
-92.165114,46.806085,Hobby Lobby,218-722-0716,1734 Mall Dr,Duluth,MN,55811,USA
-94.8996045,47.4946092,Hobby Lobby,218-751-6163,1401 Paul Bunyan Dr NW,Bemidji,MN,56601,USA
-87.016304,41.471199,Hobby Lobby,219-464-8211,210 Porters Vale Blvd,Valparaiso,IN,46383,USA
-86.896469,41.674404,Hobby Lobby,219-871-0972,4351 South Franklin Street,Michigan City,IN,46360,USA
-87.30216,41.47357,Hobby Lobby,219-947-5096,2782 E 79th St,Merrillville,IN,46410,USA
-91.00752,30.44533,Hobby Lobby,225-275-4110,1683 ONeal Lane,Baton Rouge,LA,70816,USA
-91.14116,30.4195,Hobby Lobby,225-952-9042,3121 College Dr,Baton Rouge,LA,70808,USA
-88.99236,30.40025,Hobby Lobby,228-388-3941,2649 Pass Rd,Biloxi,MS,39531,USA
-89.097946,30.448612,Hobby Lobby,228-539-7933,11240A Hwy 49 North,Gulfport,MS,39503,USA
-83.5425838,31.4459281,Hobby Lobby,229-386-1238,1851 US Hwy 82 West,Tifton,GA,31793,USA
-84.21869,31.61567,Hobby Lobby,229-639-1077,2709 Dawson Road,Albany,GA,31707,USA
-83.31828,30.83873,Hobby Lobby,229-671-1410,1000 N St Augustine Rd,Valdosta,GA,31601,USA
-84.97085,45.360704,Hobby Lobby,231-348-0991,1305 Spring Street,Petoskey,MI,49770,USA
-86.20583,43.15955,Hobby Lobby,231-798-8373,5103 Harvey,Norton Shores,MI,49444,USA
-81.808418,26.606873,Hobby Lobby,239-275-3451,9355 Ben C Pratt Parkway,Fort Myers,FL,33966,USA
-81.7996321,26.2722286,Hobby Lobby,239-596-5991,1000 Immokalee Road,Naples,FL,34110,USA
-81.7027426,26.0661794,Hobby Lobby,239-732-9622,9955 Triangle Blvd,Naples,FL,34113,USA
-83.474286,42.483968,Hobby Lobby,248-347-0386,43075 Crescent Blvd,Novi,MI,48375,USA
-88.1057892,30.670105,Hobby Lobby,251-471-3794,1310 Tingle Circle East,Mobile,AL,36606,USA
-87.90261,30.65496,Hobby Lobby,251-626-4536,6900 US Hwy 90,Daphne,AL,36526,USA
-88.22402,30.68345,Hobby Lobby,251-635-1848,7765 Airport Blvd [Ste 401],Mobile,AL,36608,USA
-87.6830374,30.367434,Hobby Lobby,251-952-0083,3165 S McKenzie St,Foley,AL,36535,USA
-77.4022597,35.5686276,Hobby Lobby,252-215-5981,3432 South Memorial Dr,Greenville,NC,27834,USA
-76.8077521,34.7382203,Hobby Lobby,252-222-3186,5167 Highway 70 W,Morehead City,NC,28557,USA
-77.9541855,35.7393074,Hobby Lobby,252-265-9015,2800 Raleigh Rd Pkwy West,Wilson,NC,27896,USA
-76.2773666,36.2919922,Hobby Lobby,252-331-1754,3850 Conion Way,Elizabeth City,NC,27909,USA
-77.812226,35.9729538,Hobby Lobby,252-443-7085,760 Sutters Creek Blvd,Rocky Mount,NC,27804,USA
-122.477591,47.23596,Hobby Lobby,253-272-9879,3130 S 23rd Street,Tacoma,WA,98405,USA
-122.509016,47.166716,Hobby Lobby,253-584-9787,5401 100th Street SW,Lakewood,WA,98499,USA
-122.313588,47.284884,Hobby Lobby,253-661-9945,35020 Enchanted Parkway S,Federal Way,WA,98003,USA
