-72.76048, 41.72372, Macy's - Farmington (Westfarms Mall) USA-(CT) Farmington, USA-100 Westfarms Mall, +1 860-561-3030
-80.31620, 40.66979, Macy's - Monaca (Beaver Valley Mall) USA-(PA) Monaca, USA-100 Beaver Valley Mall Blvd, +1 724 774-1200
-83.97014, 43.47718, Macy's - Saginaw (Fashion Square Mall) USA-(MI) Saginaw, USA-4750 Fashion Square Mall, +1 989 797-6300
-121.92829, 37.69311, Macy's - Pleasanton, USA-(CA) Pleasanton, 1300 Stoneridge Mall Rd, +1 925-463-3333
-93.17348, 45.01463, Macy's - Roseville, USA-(MN) Roseville, 900 Rosedale Ctr, +1 651 639-6600
-118.09252, 33.86165, Macy's - Cerritos (Los Cerritos Center) USA-(CA) Cerritos, USA-500 Los Cerritos Mall, +1 562-860-0411
-75.56739, 38.39808, Macy's - Salisbury, USA-(MD) Salisbury, 2304 N Salisbury Blvd, +1 410 860-0660
-122.10353, 37.64995, Macy's - Hayward, USA-(CA) Hayward, 800 Southland Mall, +1 510-786-4300
-82.59144, 40.76889, Macy's - Mansfield (Richland Mall) USA-(OH) Mansfield, USA-655 Richland Mall, +1 419 529-2411
-83.38513, 42.33907, Macy's - Westland, USA-(MI) Westland, 35000 West Warren Avenue, +1 734 458-5400
-81.63863, 38.35585, Macy's - Charleston (Charleston Town Center) USA-(WV) Charleston, USA-201 Lee St E, +1 304 345-9450
-82.52399, 27.30860, Macy's - Sarasota, USA-(FL) Sarasota, 600 Southgate Plaza, +1 941-953-9300
-118.49313, 34.01305, Macy's - Santa Monica (Santa Monica Place) USA-(CA) Santa Monica, USA-315 Colorado Ave, +1 310-393-1441
-90.19030, 38.62822, Macy's - St Louis (St. Louis Centre) USA-(MO) St Louis, USA-601 Olive St, +1 314 444-3111
-122.40708, 37.78669, Macy's - San Francisco (Union Square) USA-(CA) San Francisco, USA-170 O'Farrell St., +1 415-397-3333
