-149.822213,61.220427,"Petco-Anchorage,AK","3090 Mountain View Dr, Anchorage,AK, (907) 277-3826"
-149.863772,61.142846,"Petco-Anchorage,AK","8621 Old Seward Hwy, Anchorage,AK, (907) 365-5500"
-147.7019897,64.8579852,"Petco-Fairbanks,AK","417 Merhar Ave, Fairbanks,AK, (907) 456-4400"
-134.576767,58.3624649,"Petco-Juneau,AK","8745 Glacier Hwy, Juneau,AK, (907) 586-5094"
-151.0548978,60.4878252,"Petco-Soldotna,AK","392 East Redoubt St, Soldotna,AK, (907) 260-3081"
-149.4047699,61.5795403,"Petco-Wasilla,AK","1801 East Palmer Wasilla Hwy, Wasilla,AK, (907) 631-5205"
-86.683022,33.418636,"Petco-Birmingham,AL","5269 Us 280, Birmingham,AL, (205) 995-1013"
-87.906705,30.6539054,"Petco-Daphne,AL","6850 US Hwy 90 [ste 14b], Daphne,AL 36526, (251) 800-6090"
-87.011262,34.566117,"Petco-Decatur,AL","1605 Beltline Rd Sw, Decatur,AL, (256) 350-2473"
-87.637671,34.840891,"Petco-Florence,AL","394 Cox Creek Pky, Florence,AL, (256) 767-4201"
-85.988969,34.010174,"Petco-Gadsden,AL","308 E Meighan Blvd, Gadsden,AL, (256) 547-6275"
-86.8551178,33.3586998,"Petco-Hoover,AL","5631 Grove Blvd, Hoover,AL, (205) 987-9623"
-86.677286,34.744313,"Petco-Huntsville,AL","6140 University Dr Nw [#I9], Huntsville,AL, (256) 837-7800"
-87.2690559,33.8486879,"Petco-Jasper,AL","614 Hwy 78 E, Jasper,AL, (205) 221-9326"
-86.7567755,34.7507704,"Petco-Madison,AL","8213 Hwy 72 W, Madison,AL, (256) 721-7495"
-88.1057892,30.670105,"Petco-Mobile,AL","1310 Tingle Circle E, Mobile,AL 36606, (251) 509-0273"
-86.217754,32.356466,"Petco-Montgomery,AL","1540 Eastern Blvd, Montgomery,AL, (334) 244-9829"
-85.406963,32.619111,"Petco-Opelika,AL","2285 Tiger Town Pkwy, Opelika,AL, (334) 705-7012"
-92.659729,34.5385895,"Petco-Benton,AR","20825 I 30, Benton,AR, (501) 776-2136"
-92.4163873,35.0594404,"Petco-Conway,AR","1290 South Amity Rd, Conway,AR 72032, (501) 205-7126"
-94.144501,36.126649,"Petco-Fayetteville,AR","4132 N College Ave, Fayetteville,AR, (479) 443-0504"
-94.3904027,35.3383465,"Petco-Fort Smith,AR","3835 Phoenix Ave, Fort Smith,AR, (479) 646-1252"
-93.058406,34.46096,"Petco-Hot Springs,AR","315 Cornerstone Blvd, Hot Springs,AR, (501) 520-5618"
-90.677767,35.83114,"Petco-Jonesboro,AR","1207 S Caraway Rd, Jonesboro,AR, (870) 802-3296"
-92.412727,34.751763,"Petco-Little Rock,AR","12801 Chenal Pky, Little Rock,AR, (501) 219-9907"
-92.3355208,36.3580003,"Petco-Mountain Home,AR","1080 Hometown Commons, Mountain Home,AR, (870) 492-2422"
-92.22098,34.789498,"Petco-North Little Rock,AR","4221 E Mccain Blvd, North Little Rock,AR, (501) 955-2561"
-94.175579,36.334965,"Petco-Rogers,AR","4013 W Walnut St, Rogers,AR, (479) 636-4214"
-112.278977,33.464813,"Petco-Avondale,AZ","10190 W Mcdowell Rd, Avondale,AZ, (623) 936-4034"
-111.874316,33.306221,"Petco-Chandler,AZ","1860 W Chandler Blvd, Chandler,AZ, (480) 792-6330"
-111.841458,33.24508,"Petco-Chandler,AZ","4220 S Arizona Ave, Chandler,AZ, (480) 802-4504"
-111.571534,35.223752,"Petco-Flagstaff,AZ","5047 E Marketplace Dr, Flagstaff,AZ, (928) 526-4934"
-111.718541,33.575571,"Petco-Fountain Hills,AZ","16835 E Shea Blvd  [#105], Fountain Hills,AZ, (480) 836-8919"
-111.81098,33.378697,"Petco-Gilbert,AZ","1015 E Baseline Rd, Gilbert,AZ, (480) 813-4297"
-111.760562,33.335479,"Petco-Gilbert,AZ","1415 E Warner Rd, Gilbert,AZ, (480) 558-4588"
-112.190444,33.665565,"Petco-Glendale,AZ","6090 W Behrend Dr, Glendale,AZ, (602) 376-0621"
-112.255019,33.55173,"Petco-Glendale,AZ","9480 W Northern Ave, Glendale,AZ, (623) 877-2730"
-112.3923073,33.4693886,"Petco-Goodyear,AZ","1985 N Pebble Creek Pkwy, Goodyear,AZ, (623) 935-1027"
-114.035651,35.220647,"Petco-Kingman,AZ","3320 Stockton Hill Rd [#B], Kingman,AZ, (928) 681-4101"
-112.171766,33.377647,"Petco-Laveen,AZ","5260 W Baseline Rd, Laveen,AZ, (602) 237-0610"
-111.0956341,32.3526299,"Petco-Marana,AZ","8050 N Cortaro Rd, Marana,AZ 85743, (520) 719-6110"
-111.78749,33.422513,"Petco-Mesa,AZ","2027 E University Dr, Mesa,AZ, (480) 827-1187"
