-111.545475,33.412144,"QT-Apache Junction,AZ","21 East Old West Hwy, Apache Junction,AZ 85219, Store No 437|480-288-9023"
-112.3066177,33.4497414,"QT [Auto Diesel]-Avondale,AZ","150 N Avondale Blvd, Avondale,AZ 85323, Store No 1424|623-882-2122"
-112.340261,33.478495,"QT [Auto Diesel]-Avondale,AZ","13067 W Thomas Rd, Avondale,AZ 85392, Store No 423|623-935-4167"
-112.590944,33.429525,"QT Travel Center [Auto Diesel]-Buckeye,AZ","1850 S Miller Rd, Buckeye,AZ 85326, Store No 492|623-386-8855"
-111.757452,32.895303,"QT [Auto Diesel]-Casa Grande,AZ","1627 N Pinal Ave, Casa Grande,AZ 85222, Store No 482|520-876-9050"
-111.841585,33.334721,"QT-Chandler,AZ","1995 N Arizona Ave, Chandler,AZ 85225, Store No 427|480-917-3128"
-111.842381,33.276109,"QT [Auto Diesel]-Chandler,AZ","2010 S Arizona Ave, Chandler,AZ 85286, Store No 442|480-726-5202"
-111.772741,33.378944,"QT-Gilbert,AZ","2761 E Baseline Rd, Gilbert,AZ 85234, Store No 469|480-497-8236"
-111.75537,33.284014,"QT [Auto Diesel]-Gilbert,AZ","3720 S Val Vista Dr, Gilbert,AZ 85297, Store No 1404|480-892-0107"
-111.790195,33.336323,"QT-Gilbert,AZ","726 S Gilbert Rd, Gilbert,AZ 85296, Store No 486|480-855-1673"
-111.841757,33.365497,"QT [Auto Diesel]-Gilbert,AZ","847 N Arizona Ave, Gilbert,AZ 50315, Store No 414|480-558-5342"
-112.150666,33.654463,"QT-Glendale,AZ","4255 W Union Hills Drive, Glendale,AZ 85308, Store No 413|623-463-0202"
-112.167418,33.523216,"QT-Glendale,AZ","5082 NW Grand Ave, Glendale,AZ 85301, Store No 456|623-937-0337"
-112.203327,33.538511,"QT-Glendale,AZ","6702 W Glendale Ave, Glendale,AZ 85303, Store No 470|623-872-1044"
-112.272449,33.50831,"QT-Glendale,AZ","9910 W Camelback Rd, Glendale,AZ 85307, Store No 448|602-548-7055"
-112.341328,33.452413,"QT [Auto Diesel]-Goodyear,AZ","550 N Dysart Rd, Goodyear,AZ 85338, Store No 446|623-882-0431"
-112.392436,33.452765,"QT [Auto Diesel]-Goodyear,AZ","575 N Estrella Pkwy, Goodyear,AZ 85338, Store No 1401|623-932-2462"
-112.133021,33.377303,"QT [Auto Diesel]-Laveen,AZ","3445 W Baseline Rd, Laveen,AZ 85339, Store No 493|602-237-0070"
-112.046588,33.068359,"QT [Auto Diesel]-Maricopa,AZ","20530 N John Wayne Pkwy, Maricopa,AZ 85239, Store No 499|520-568-1907"
-111.615244,33.394344,"QT-Mesa,AZ","1141 S Crismon Rd, Mesa,AZ 85208, Store No 459|480-733-5421"
-111.839923,33.390577,"QT-Mesa,AZ","1331 S Country Club Dr, Mesa,AZ 85210, Store No 402|480-633-0800"
-111.738686,33.382441,"QT-Mesa,AZ","1733 S Greenfield Rd, Mesa,AZ 85206, Store No 438|480-844-8292"
-111.823802,33.38142,"QT-Mesa,AZ","1861 S Mesa Dr, Mesa,AZ 85210, Store No 431|480-558-1992"
-111.8752445,33.4077153,"QT[Auto Diesel]-Mesa,AZ","2026 W Broadway Rd, Mesa,AZ 85202, Store No 419|480-840-6360"
-111.687541,33.367263,"QT-Mesa,AZ","2657 S Power Rd, Mesa,AZ 85208, Store No 496|480-380-9741"
-111.684364,33.421707,"QT-Mesa,AZ","339 N Power Rd, Mesa,AZ 85205, Store No 457|480-325-4766"
-111.754763,33.41532,"QT-Mesa,AZ","3563 E Main, Mesa,AZ 85213, Store No 417|480-833-9108"
-111.805484,33.407512,"QT-Mesa,AZ","414 S Stapley Dr, Mesa,AZ 85204, Store No 433|480-354-6240"
-111.841578,33.451278,"QT[Auto Diesel]-Mesa,AZ","517 W Mckellips Rd, Mesa,AZ 85201, Store No 401|480-981-0469"
-111.686687,33.315917,"QT[Auto Diesel]-Mesa,AZ","5545 S Power Rd, Mesa,AZ 85212, Store No 478|480-325-1399"
-111.702173,33.466169,"QT-Mesa,AZ","5957 E Mcdowell Rd, Mesa,AZ 85215, Store No 447|480-218-0388"
-111.849057,33.422413,"QT-Mesa,AZ","816 W University Dr, Mesa,AZ 85201, Store No 452|480-890-3031"
-111.632113,33.422199,"QT[Auto Diesel]-Mesa,AZ","9229 E University Dr, Mesa,AZ 85207, Store No 404|480-844-3833"
-110.944957,32.407588,"QT [Auto Diesel]-Oro Valley,AZ","11045 N Oracle Rd, Oro Valley,AZ 85737, Store No 1475|520-219-0350"
-112.237434,33.654927,"QT-Peoria,AZ","18855 N 83rd Ave, Peoria,AZ 85308, Store No 428|623-979-0353"
-112.203143,33.610493,"QT [Auto Diesel]-Peoria,AZ","6721 W Thunderbird Rd, Peoria,AZ 85381, Store No 430|623-362-1504"
-112.2041456,33.7121058,"QT [Auto Diesel]-Peoria,AZ","6739 W Happy Valley Rd, Peoria,AZ 85383, Store No 436|623-878-3937"
-112.221008,33.681852,"QT-Peoria,AZ","7522 W Deer Valley Rd, Peoria,AZ 85382, Store No 439|623-878-0670"
-112.240341,33.671375,"QT [Auto Diesel]-Peoria,AZ","8293 W Lake Pleasant Pkwy, Peoria,AZ 85382, Store No 472|623-561-7887"
-112.249831,33.609652,"QT [Auto Diesel]-Peoria,AZ","8870 W Thunderbird Rd, Peoria,AZ 85381, Store No 490|623-362-8033"
-112.255138,33.566926,"QT-Peoria,AZ","9020 N 91st Ave, Peoria,AZ 85345, Store No 416|623-825-6300"
-112.16834,33.46101,"QT Travel Center [Auto Diesel]-Phoenix,AZ","1155 N 51st St [I-10 Exit 138], Phoenix,AZ 85043, Store No 444|602-841-7032"
-112.047278,33.505751,"QT-Phoenix,AZ","1610 E Highland Ave, Phoenix,AZ 85016, Store No 435|602-923-6797"
-112.096257,33.639934,"QT-Phoenix,AZ","1707 W Bell Rd, Phoenix,AZ 85023, Store No 411|602-841-1743"
-112.099427,33.392148,"QT-Phoenix,AZ","1915 W Southern Ave, Phoenix,AZ 85041, Store No 434|602-233-3355"
-112.065453,33.666705,"QT-Phoenix,AZ","19815 N 7th St, Phoenix,AZ 85024, Store No 426|602-548-5701"
-112.099849,33.66705,"QT [Auto Diesel]-Phoenix,AZ","19990 N 19th Ave, Phoenix,AZ 85027, Store No 421|602-494-2743"
-112.101805,33.538459,"QT-Phoenix,AZ","2009 W Glendale Ave, Phoenix,AZ 85021, Store No 418|602-414-0615"
-112.037694,33.596667,"QT-Phoenix,AZ","2019 E Cactus Rd, Phoenix,AZ 85022, Store No 485|602-278-8721"
-112.0311941,33.6772585,"QT [Auto Diesel]-Phoenix,AZ","21050 N Cave Creek, Phoenix,AZ 85024, Store No 497|623-247-2389"
-112.034719,33.640686,"QT-Phoenix,AZ","2212 E Bell Rd, Phoenix,AZ 85022, Store No 406|623-845-7850"
-112.032679,33.480319,"QT [Auto Diesel]-Phoenix,AZ","2250 E Thomas Rd, Phoenix,AZ 85016, Store No 1408|602-923-6702"
-112.029457,33.655183,"QT-Phoenix,AZ","2450 E Union Hills Dr, Phoenix,AZ 85050, Store No 420|602-485-3696"
-112.11407,33.509101,"QT [Auto Diesel]-Phoenix,AZ","2535 W Camelback Rd, Phoenix,AZ 85017, Store No 461|602-242-0686"
-112.119169,33.581868,"QT [Auto Diesel]-Phoenix,AZ","2725 W Peoria Ave, Phoenix,AZ 85029, Store No 454|623-873-4411"
-112.119148,33.610989,"QT-Phoenix,AZ","2750 W Thunderbird, Phoenix,AZ 85053, Store No 407|602-264-2902"
-112.169145,33.422475,"QT [Auto Diesel]-Phoenix,AZ","2775 S 51st Ave, Phoenix,AZ 85043, Store No 445|602-956-0678"
-112.117227,33.479424,"QT-Phoenix,AZ","2836 N 27th Ave, Phoenix,AZ 85009, Store No 458|602-438-6010"
-112.1196353,33.596475,"QT [Auto Diesel]-Phoenix,AZ","2840 W Cactus Rd, Phoenix,AZ 85029, Store No 1428|602-749-0905"
-112.018818,33.494954,"QT-Phoenix,AZ","2941 E Indian School Rd, Phoenix,AZ 85016, Store No 425|602-942-0376"
-112.079023,33.494751,"QT-Phoenix,AZ","321 W Indian School Rd, Phoenix,AZ 85013, Store No 440|602-589-1812"
-112.137189,33.538486,"QT [Auto Diesel]-Phoenix,AZ","3605 W Glendale Ave, Phoenix,AZ 85051, Store No 1411|623-772-7211"
